title,authors,publisher,published_date,page_count,description,genres,thumbnail_url,isbn_13,language,rating
Повелитель мух,Голдинг Уильям,АСТ,1954,320,"Странная, страшная и бесконечно притягательная книга. История благовоспитанных мальчиков, внезапно оказавшихся на необитаемом острове. Философская притча о том, что может произойти с людьми, забывшими о любви и милосердии. Гротескная антиутопия, роман‑предупреждение и, конечно, напоминание о хрупкости мира, в котором живем мы все.",Фантастика,/static/books/covers/povelitel_muh.jpg,9785171035976,ru,5.0
Мастер и Маргарита,Михаил Булгаков,АСТ,1967,544,"Культовый роман Михаила Булгакова. В Москву прибывает сам дьявол. Дальше воцаряются хаос и настоящая чертовщина и любому, кто попадется на пути Воланда и его свиты, не поздоровится. Но истинная причина его приезда кроется в некоем мастере и его возлюбленной. Уникальный роман о свете и тьме, любви и самопожертвовании, действие которого разворачивается в разгар жаркой московской весны.",Фантастика,/static/books/covers/masterimargarita.jpg,9785171561727,ru,5.0
Театр теней,Кир Булычев,Азбука,2025,1024,"Действие романов трилогии «Театр теней» происходит в «теневом» мире — мире, параллельном тому, в котором живем мы с вами, мире, где отсутствует смерть, здесь время стоит на месте. Главный герой трилогии с говорящей фамилией Гагарин, инопланетянин-подкидыш, найденный 12 апреля (отсюда и такая фамилия), вместе с другими учеными из Института экспертизы исследуют этот странный мир, полный опасных тайн и населенный отнюдь не ангелами.",Фантастика,/static/books/covers/teatrtenei.jpg,9785389276314,ru,5.0
Гарри Поттер и философский камень,Джоан Кэтлин Роулинг,Махаон,2025,432,"Книга, покорившая мир, эталон литературы для читателей всех возрастов, синоним успеха. Книга, сделавшая Джоан Роулинг самым читаемым писателем современности. Книга, ставшая культовой уже для нескольких поколений. «Гарри Поттер и Философский камень» - история начинается.",Фантастика,/static/books/covers/garripotter1.jpg,9785389074354,ru,5.0
Дюна,Герберт Фрэнк,АСТ,2024,704,"Роман «Дюна», первая книга прославленной саги, знакомит читателя с Арракисом — миром суровых пустынь, исполинских песчаных червей, отважных фрименов и таинственной специи. Безграничная фантазия автора создала яркую, почти осязаемую вселенную, в которой есть враждующие Великие Дома, могущественная Космическая Гильдия, загадочный Орден Бинэ Гессерит и неуловимые ассасины.",Фантастика,/static/books/covers/dune1.jpg,9785171189334,ru,5.0
Наруто. Кн 1,Масаси Кисимото,Азбука,2024,600,"Наруто Удзумаки – самый проблемный ученик академии ниндзя в деревне Коноха. День за днем он выдумывает всяческие проказы и выводит из себя окружающих! Однако даже у этого хулигана есть заветная мечта. Он собирается превзойти героев прошлого, стать величайшим ниндзя и обрести всеобщее признание! Но люди сторонятся юного Удзумаки, а кто-то даже смотрит на него с отвращением… Наруто и не подозревает, что его жизнь связана с трагедией, постигшей Коноху двенадцать лет назад…",Манга,/static/books/covers/naruto1.jpg,9785389189324,ru,5.0
One Piece. Большой куш. Кн.1,Эйитиро Ода,Азбука,2025,608,"Голд Роджер – король пиратов, добившийся за свою жизнь богатства, славы и власти, спрятал где-то на просторах этого мира загадочное сокровище, которое все называют «One Piece». После смерти Роджера множество смельчаков кинулись на поиски этого большого куша. И наступила великая эпоха пиратов! Вот и паренек по имени Луффи, живущий в маленькой прибрежной деревушке, мечтает стать пиратом. Еще в детстве он ненароком съел плод резина-резина и приобрел невероятные способности. Повзрослев, он покидает родные места в погоне за величайшим сокровищем!",Манга,/static/books/covers/onepiece1.jpg,9785389163188,ru,5.0
Death Note. Книга 1,Цугуми Ооба,Азбука,2025,384,"У студента колледжа Лайта Ягами есть блестящие перспективы на будущее и ни малейшей идеи, чем заполнить настоящее. Парень сходит с ума от скуки. Но все меняется, когда он находит записную книжку синигами – бога смерти. Любой человек, чье имя окажется на ее странице, умрет. Лайт решает использовать Тетрадь смерти, чтобы избавить мир от зла. Куда приведут эти благие намерения?",Манга,/static/books/covers/deathnote1.jpg,9785389137240,ru,5.0
Стальной Алхимик. Кн.1,Хирому Аракава,Азбука,2024,272,"Легендарная серия манги показывает нам альтернативный 20-й век, в котором магия и алхимия идут в ногу с технологическим процессом. В центре сюжета два брата, Эдвард и Альфонс, попытка которых спасти умершую мать с помощью алхимии приводит к ужасным последствиям. У Эдварда не остается иного выбора, как вступить в армию, чтобы попытаться найти способ восстановить искалеченное тело своего брата и свое собственное.",Манга,/static/books/covers/stal_alhim1.jpg,9785389159396,ru,5.0
Берсерк. Том 1,Кэнтаро Миура,XL-Media,2020,458,"Одинокий воин, облаченный во все черное и с огромным, в человеческий рост, мечом за спиной, странствует по свету, верша свою месть силам зла. Там, где проходит его путь, неизменно остаются горы трупов, а кровь льется рекой. Народная молва нарекла этого воина Черным Мечником, но прежде его звали Гатсом, и он был обычным наемником, пока одно событие не изменило его жизнь навсегда.",Манга,/static/books/covers/berserk1.jpg,9785919962908,ru,5.0
Шерлок Холмс. Его прощальный поклон,Артур Конан Дойл,Азбука,2022,256,"Английский врач и писатель сэр Артур Конан Дойл известен всему миру как непревзойденный мастер детективного жанра, автор множества произведений о гениальном сыщике Шерлоке Холмсе и его верном друге докторе Ватсоне. Классические переводы этих рассказов и романов, делавшиеся давно и множеством разных переводчиков, страдают известными недостатками: расхождения, пропуски, откровенные ошибки. Вашему вниманию предлагается сборник «Его прощальный поклон» в новых переводах Людмилой Бриловой и Сергеем Сухаревым — мастеров, чьи переводы Кадзуо Исигуро и Рэя Брэдбери, Фрэнсиса Скотта Фицджеральда и Чарльза Паллисера, Томаса Де Квинси, Германа Мелвилла и других давно стали классическими.",Детектив,/static/books/covers/sherlock_poklon.jpg,9785389157552,ru,5.0
Лучшее во мне,Николас Спаркс,АСТ,2017,384,"От автора бестселлеров «Спеши любить» и «Дневник памяти». Трогательный роман о первой любви, которая живет вечно. Доусон Коул однажды уже свою возлюбленную Аманду. Встретив ее спустя 20 лет в родном городе, он понимает, что не может допустить этой ошибки вновь. Доусон не может допустить мысли, что опять будет ужинать и засыпать один, что её снова не будет рядом. Но с их расставания прошло слишком много времени, у Аманды уже давно есть семья… Эта судьбоносная встреча должна расставить всё на свои места.",Романтика,/static/books/covers/best_in_me.jpg,9785171556938,ru,5.0
Лунный камень,Уилки Коллинз,АСТ,2015,608,"Лунный камень – огромный желтый алмаз – некогда украшавший чело бога Луны в одном из священных индийских храмов, подарен на восемнадцатилетие Рэчел Вериндер. Но в ту же ночь камень был украден. Для расследования приглашен лучший сыщик Англии – сержант Кафф.",Детектив,/static/books/covers/lunniy_kamen.jpg,9785171464943,ru,5.0
Правда о деле Гарри Квеберта,Жоэль Диккер,АСТ,2022,720,"«Правда о деле Гарри Квеберта» вышла в 2012 году и сразу стала бестселлером. Едва появившись на прилавках, книга в одной только Франции разошлась огромным тиражом и была переведена на тридцать языков, а ее автор, двадцатисемилетний швейцарец Жоэль Диккер, получил Гранпри Французской академии за лучший роман и Гонкуровскую премию лицеистов. Действие этой истории с головокружительным сюжетом и неожиданным концом происходит в США. Молодой успешный романист Маркус Гольдман мается от отсутствия вдохновения и отправляется за помощью к своему учителю, знаменитому писателю Гарри Квеберту. Однако внезапно выясняется, что помощь требуется самому Гарри, обвиненному в убийстве, которое произошло в тихом американском городке 33 года назад. Чтобы спасти Гарри от электрического стула, Маркус берется за собственное расследование и пытается распутать сложнейший клубок лжи, давно похороненных тайн и роковых случайностей. И получает тридцать один совет, как написать бестселлер.",Детектив,/static/books/covers/garry_kverberta.jpg,9785170862627,ru,5.0
Преступления Арсена Люпена,Морис Леблан,Азбука,2024,736,"«Книги французского писателя Мориса Леблана о приключениях Арсена Люпена раскупались при жизни автора огромными тиражами, превышающими тиражи книг самого Конан Дойла. Арсен Люпен — великий искатель приключений, король воров, человек с тысячью обличий. О его поимке мечтает каждый полицейский Франции. Его имя стало легендой, которая ужасает и восхищает. Поймать его невозможно, предсказать его следующий шаг — исключено. Его хитрость, благородство, изобретательность не знают границ. В настоящее издание вошел сборник рассказов «Признания Арсена Люпена», а также два романа: «Осколок снаряда» (увлекательная военно-детективная история, в которой Арсен Люпен появляется как второстепенный персонаж) и «Золотой треугольник». Произведения сопровождаются иллюстрациями французских художников из первых оригинальных изданий.",Детектив,/static/books/covers/arsen_lupen.jpg,9785389250093,ru,5.0
Десять негритят,Агата Кристи,Эксмо,2018,256,"Десять никак не связанных между собой людей в особняке на уединенном острове... Кто вызвал их сюда таинственным приглашением? Зачем кто-то убивает их, одного за другим, самыми невероятными способами? Почему все происходящее так тесно переплетено с веселым детским стишком?",Детектив,/static/books/covers/negritata.jpg,9785040911264,ru,5.0
Аэропорт,Артур Хейли,АСТ,2020,608,"Город, где находится крупнейший аэропорт, неожиданно накрывает снежный буран, поэтому все службы работают в экстренном режиме. На сотрудников аэропорта обрушивается одна проблема за другой — сначала непонятно где исчезает машина с продуктами, а потом на борту одного из самолетов происходит страшная авария. Ко всему прочему добавляются обострившиеся личные проблемы героев, их сложные душевные драмы — вот в такой запутанный клубок сюжетных линий завяжется действие романа, уместившееся в один пятничный вечер. По роману Аэропорт в 1970 году был снят фильм с ведущими голливудскими актерами — десять номинаций на премию Оскар! После этой экранизации вышли еще три сиквела.",Романтика,/static/books/covers/airport.jpg,9785170899494,ru,5.0
Письма Баламута. Расторжение брака,Клайв Стейплз Льюис,АСТ,2015,288,"В этот сборник вошли сразу три произведения Клайва Стейплза Льюиса — «Письма Баламута», «Баламут предлагает тост» и «Расторжение брака». «Письма Баламута» — блестяще остроумная пародия на старинный британский памфлет — представляют собой серию писем старого и искушенного беса Баламута, занимающего респектабельное место в адской номенклатуре, к любимому племяннику — юному бесу Гнусику, только‑только делающему первые шаги на ниве уловления человеческих душ. Нелегкое занятие в середине просвещенного и маловерного ХХ века, где искушать, в общем, уже и некого, и нечем... «Расторжение брака» — роман‑притча о преддверии загробного мира, обитатели которого могут без труда попасть в Рай, однако в большинстве своем упорно предпочитают привычную повседневность городской суеты Чистилища непривычному и незнакомому блаженству.",Романтика,/static/books/covers/balamut.jpg,9785171149307,ru,5.0
Замок Броуди,Арчибальд Кронин,Азбука,2025,672,"Самый популярный роман знаменитого прозаика Арчибальда Кронина. Многим известна английская пословица «Мой дом — моя крепость». И узнать тайны английского дома, увидеть «невидимые миру слезы» мало кому удается. Однако дом Джеймса Броуди стал не крепостью, для членов его семьи он превратился в настоящую тюрьму. Из нее вырывается старшая дочь Мэри, уезжает сын Мэт, а вот те, кто смиряется с самодурством и деспотизмом Броуди — его жена Маргарет и малышка Несси, — обречены...",Романтика,/static/books/covers/zamok_broudi.jpg,9785389113473,ru,5.0
Евгений Онегин,Александр Пушкин,Азбука,2025,352,"Роман в стихах «Евгений Онегин» — самое известное и самое значительное произведение А. С. Пушкина, вершина русской поэзии и предмет многочисленных исследований. Пушкин начал писать роман в мае 1823 года, а закончил только осенью 1831 года, когда было написано «Письмо Онегина к Татьяне». Осенью 1823 года он сообщал друзьям: «...Я теперь пишу не роман, а роман в стихах — дьявольская разница...» Занимательный, легкий, основанный на любовной истории, переданной в манере доверительной беседы автора с читателем, и вместе с тем полный неразрешимых парадоксов и загадок. Противоречивость, многомерность, составляющие самую суть пушкинского романа, привлекают новые поколения читателей, позволяют открывать в нем новые смыслы.",Романтика,/static/books/covers/evgeniy_onegin.jpg,9785389088467,ru,5.0
Моя геройская академия. Кн.1,Кохэй Хорикоси,Азбука,2025,408,"Много лет тому назад случилось чудо – на свет появился мерцающий младенец. С тех пор повсюду начали рождаться люди с особыми силами – причудами. Однако, увы, не все они используют свои способности во благо… К счастью, на страже порядка всегда стоят профессиональные герои, которые не позволят абсолютному злу взять верх! Хочешь стать героем, поступи в геройскую академию и раскрой свой потенциал!",Манга,/static/books/covers/mha1.jpg,9785389169517,ru,5.0
Хребты безумия,Говард Филлипс Лавкрафт,АСТ,2019,480,"При жизни этот писатель не опубликовал ни одной книги, после смерти став кумиром как массового читателя, так и искушенного эстета, и неиссякаемым источником вдохновения для кино- и игровой индустрии;его называли Эдгаром По ХХ века, гениальным безумцем и адептом тайных знаний; его творчество уникально настолько, что потребовало выделения в отдельный поджанр; им восхищались Роберт Говард и Клайв Баркер, Хорхе Луис Борхес и Айрис Мёрдок;",Фантастика,/static/books/covers/hrebty_bezumia.jpg,9785170991204,ru,5.0
Цветы для Элджернона,Дэниел Киз,"Эксмо",2012,384,"Еще недавно описанный Дэниелом Кизом эксперимент был абсолютной фантастикой, читая которую можно было только удивляться. Действительно невозможно было себе представить, что наука способна шагнуть так далеко, буквально в живой интеллект человека. Чарли — особенный молодой человек с отклонениями в развитии мозга. Он очень добрый, он трудолюбивый и честный... но глупый, наивный, не способный нормально обучаться. 40 лет назад — это был приговор безоговорочный и, конечно «Цветы для Элджернона» — книгой фантастической.",Романтика,/static/books/covers/flowers.jpg,9785699556991,ru,5.0
Щегол,Донна Тартт,АСТ,2017,832,"Роман, который лауреат Пулитцеровской премии Донна Тартт писала более 10 лет, — огромное эпическое полотно о силе искусства и о том, как оно — подчас совсем не так, как нам того хочется — способно перевернуть всю нашу жизнь. 13-летний Тео Декер чудом остался жив после взрыва, в котором погибла его мать. Брошенный отцом, без единой родной души на всем свете, он скитается по приемным домам и чужим семьям — от Нью-Йорка до Лас-Вегаса, — и его единственным утешением, которое, впрочем, чуть не приводит к его гибели, становится украденный им из музея шедевр голландского старого мастера.",Детектив,/static/books/covers/shegol.jpg,9785170854486,ru,5.0
Хоббит,Джон Рональд Руэл Толкин,АСТ,2025,304,"Джон Рональд Руэл Толкин — писатель, поэт, филолог, профессор Оксфордского университета, родоначальник современной фэнтези. В 1937 году был написан «Хоббит», а в середине 1950‑х годов увидели свет три книги «Властелина колец», повествующие о Средиземье — мире, населенном представителями волшебных рас со сложной культурой, историей и мифологией. В последующие годы эти романы были переведены на все мировые языки, адаптированы для кино, мультипликации, аудиопьес, театра, компьютерных игр, комиксов и породили массу подражаний и пародий. Впервые с иллюстрациями самого Джона Р.Р. Толкина!",Фантастика,/static/books/covers/hobbit.jpg,9785170828791,ru,5.0
Братство кольца,Джон Рональд Руэл Толкин,АСТ,2018,480,"Трилогия Властелин Колец — одна из тех великих книг, встреча с которыми становится Событием. Эпическая красота повествования, вечная тема борьбы Добра и Зла, большой подвиг маленького героя и, самое главное, — тот фантастический и вместе с тем удивительно реальный мир, в котором хочется остаться навсегда. Издание, которое вы держите в руках, выполненное в переводе Владимира Грушецкого и Наталии Григорьевой и оформленное знаменитым художником Денисом Гордеевым, — не просто книга на все времена, не просто культовое фэнтези от одного из самых известных писателей, но произведение искусства, сочетающее в себе волшебство слова и рисунка.",Фантастика,/static/books/covers/lord_of_the_rings1.jpg,9785170818020,ru,5.0
