title,authors,publisher,published_date,page_count,description,genres,thumbnail_url,isbn_13,language,rating
Старик и море. Острова и море,Эрнест Хемингуэй,АСТ,2013,544,"Повесть «Старик и море» — одно из самых известных и любимых читателями произведений Хемингуэя.Она принесла автору Пулитцеровскую премию, а также сыграла немаловажную роль в присуждении ему звания нобелевского лауреата. Это рассказ о «трагическом стоицизме» и мужестве, о том, как перед лицом безжалостной судьбы и одиночества человек, даже проигрывая, должен сохранять достоинство. «Острова и море» — искренняя и правдивая история жизни и гибели меланхоличного отшельника, художника‑мариниста Томаса Хадсона и его сыновей. Роман об одиночестве и отчаянии, самоотверженности и отваге, поиске выхода из тупика и нравственном долге перед собой и окружающими.",Романтика,/static/books/covers/ded_and_sea.jpg,9785171126414,ru,5.0
Война миров. Человек-невидимка,Герберт Уэллс,Эксмо,2021,384,"Два самых известных романа знаменитого классика фантастики в одной книге. «Война миров» — первый в истории роман, поднимающий тему вражды между людьми и инопланетянами. Захватывающий и отрезвляющий, пугающий и увлекательный, потрясающе масштабно экранизированный. «Человек-невидимка» — трагическая история талантливого ученого, совершившего удивительное открытие, которая поражает сочетанием психологической и бытовой достоверности с фантастичностью происходящих событий.",Романтика,/static/books/covers/ww3.jpg,9785041564117,ru,5.0
Современный Человек-Паук Т.1 Сила и ответственность,Брайан Бендис,Зодиак,2019,200,"Старшая школа, взросление, первые танцы – в молодости много ловушек. Смешайте их с сильной личной трагедией и суперсилой и вы сможете представить себе мир Питера Паркера, он же Человек-Паук! Станьте свидетелем перерождения легенды, пока Питер познает, что с великой силой должна прийти и великая ответственность! Содержит выпуски «Современного Человека-Паука #1-7», написанные Брайаном Майклом Бендисом и нарисованные Марком Багли, командой с самой длинной совместной работой над одной серией в истории Marvel!",Манга,/static/books/covers/ultimate_spider_man1.jpg,9000027804101,ru,5.0
Новая Росомаха. Том 1,Том Тейлор,Эксмо,2021,284,"ТЕПЕРЬ ОНА ЛУЧШАЯ В СВОЁМ ДЕЛЕ! Х-23 БЫЛА СОЗДАНА, ЧТОБЫ СТАТЬ ОРУЖИЕМ. И была им какое-то время. Но Лора Кинни сбежала от этой жизни благодаря своему наставнику, Логану, оригинальному Росомахе. Теперь, когда он погиб, Лора чтит его память, став Новой Росомахой. Но скоро её ждёт встреча с людьми, чьи лица она знает как своё собственное. БУКВАЛЬНО. Эти люди в смятении, и чтобы облегчить их ношу, Лора обратится за помощью к Доктору Стрэнджу и Осе! А также: прошлое отбрасывает большую тень. Лора узнает это на своём опыте, когда встретится не с кем иным, как со Стариком Логаном! Он пришёл в этот мир из царства антиутопии и разрухи и готов затянуть .туда всех, включая саму Лору. Она останется героем или же сдастся под натиском мрачной судьбы? В книгу входят комиксы Новая Росомаха #1-12. Над серией работали Том Тэйлор, Дэвид Лопез, Дэвид Наварро, Марсио Такара и Иг Гуара.",Манга,/static/books/covers/new_rosomaxa1.jpg,9785041074487,ru,5.0
Тайна Безумного Шляпника,Джон Диксон Карр,Азбука,2025,320,"Золотой век детектива подарил нам множество звездных имен. Произведения таких писателей, как Агата Кристи, Гилберт Честертон, Эрл Стэнли Гарднер, Рекс Стаут развивали и совершенствовали детективный жанр, их романы, безоговорочно признанные классикой, по сей день любимы читателями и являются эталоном качества для последующих поколений авторов детективных историй. Почетное место в этой плеяде по праву принадлежит Джону Диксону Карру (1906–1977) — виртуозному мастеру идеально построенных «невозможных преступлений в запертой комнате». В 1933 году в романе «Ведьмино Логово» Джон Диксон Карр впервые представил публике сыщика-любителя доктора Гидеона Фелла, а в 1934 году вышла в свет история о его следующем расследовании — роман «Тайна Безумного Шляпника». Проделки неизвестного хулигана, срывающего головные уборы с добропорядочных горожан, вряд ли могли бы взволновать повидавших всякое лондонцев. Другое дело — труп, раскинувшийся на ступенях Тауэра с одной из пропавших шляп на голове...",Детектив,/static/books/covers/secret_madness_shlapnika.jpg,9785389289147,ru,5.0
Последнее убийство в конце времен,Стюарт Тёртон,Азбука,2024,448,"Впервые на русском — новейшая книга автора международных бестселлеров «Семь смертей Эвелины Хардкасл» (перевод на более чем 30 языков, тираж свыше 1 млн только в США и Британии) и «Дьявол и темная вода», «ломающий все жанровые каноны роман-загадка, не похожий ни на что» (А. Дж. Финн, автор «Женщины в окне»). Смертельный туман покрыл Землю, уничтожив на ней всю жизнь. Уцелел лишь крошечный остров на краю света, окруженный защитным барьером. На острове в гармонии обитают трое старейшин-ученых — последняя связь с древним миром до катастрофы — и сто двадцать два жителя деревни. Но однажды происходит немыслимое — случается убийство. И если за сто семь часов убийца не будет найден, защитный барьер падет и гибельный туман поглотит последний остров на краю света… «Удивительная и совершенно органичная смесь постапокалипсиса с классическим детективом» (Good Reading, Australia).",Детектив,/static/books/covers/last_kill.jpg,9785389252691,ru,5.0
Записки маленькой гимназистки. Записки институтки,Чарская Лидия Алексеевна,Издательство АСТ,2025,384,"Впечатления Лидии Чарской о семи годах, проведенных в Павловском женском институте в Петербурге, стали богатым материалом для будущих книг, в которых она рассказывала о юных девушках, тонко описывая их душевные переживания. В это издание вошли две повести о сильных, смелых и добрых девочках: гимназистке Лене Икониной и институтке Люде Влассовской. Героини Чарской – это маленькие девочки из разных уголков Российской империи, которые переживают из-за оценок и экзаменов, делятся друг с другом секретами, участвуют в проказах и шалостях, живут в ожидании первого бала и поддерживают друг друга в трудную минуту.",Романтика,/static/books/covers/institutka.jpg,9785171736811,ru
На дне,Горький Максим,Издательство АСТ,2024,384,"— От автора романа «Жизнь Клима Самгина» и трилогии «Детство. В людях. Мои университеты». — Писатель, поэт, драматург, публицист и общественный деятель Максим Горький — один из самых известных и влиятельных литераторов первой половины XX века. — Самые известные из ранних произведений Максима Горького под одной обложкой. — В данное издание вошли драма «На дне», стихотворения в прозе «Песня о соколе» и «Песня о Буревестнике» и рассказы «Челкаш», «Старуха Изергиль» и «Макар Чудра». — Издание в серии «Эксклюзивная классика» (Лучшее) — в узнаваемом оформлении и в твердой обложке.",Романтика,/static/books/covers/on_the_floor.jpg,9785171740412,ru
Пластиковый океан,Хуэй Ху,Издательство АСТ,2021,544,"— Впервые на русском языке. — Первоклассная китайская фантастика. — Масштабное повествование, в котором переплетаются элементы научной фантастики, драмы, боевика и даже хоррора. — Лауреат премии «Туманность» — крупнейшей научно-фантастической премии Китая. — Права на экранизацию романа уже куплены.",Фантастика,/static/books/covers/plactic_ocean.jpg,9785171509583,ru
Игры со льдом,Валиуллин Ринат Рифович,Издательство АСТ,2017,224,"- Переосмысление жанра спортивного романа от виртуоза философско-романтической прозы. - Для поклонников романов «Где валяются поцелуи», «Состояние — Питер», «В каждом молчании своя истерика». - Простая на первый взгляд история любви известного хоккеиста и студентки преподносится через призму кинообъектива. - Автор использует свой излюбленный прием — магический реализм, чтобы устроить читателю увлекательный вояж на разные уровни реальности, то стирая, то возвращая границу между жизнью и кино. - Серия «Когда приходит любовь».",Романтика,/static/books/covers/games_with_ice.jpg,9785171610074,ru
Человек-Паук: Заклятые враги,Кванц Дэниел,Издательство АСТ,2018,120,"Для истинных фанатов Человека‑Паука! Истории старые, оформление новое! Переиздание сборника «Смертельные враги» + одна новая история! Смертельный поединок со Стервятником Поразительная угроза Ужасного Жестянщика Человек‑Паук против Доктора Осьминога Ничто не остановит Песочного человека Помечен для уничтожения Доктором Думом 6. Лицом к лицу с Ящером (новая история)",Манга,/static/books/covers/spiderman_kids1.jpg,9785171498603,ru
The Last of Us. Одни из нас. Американские мечты,"Дракманн Нил, Хикс Фэйт, Розенберг Рейчел",Издательство АСТ,2020,104,"Девятнадцать лет назад вспышка грибковой инфекции погубила большую часть населения планеты. В одной из немногих карантинных зон тринадцатилетняя Элли начинает новую жизнь под опекой военной школы-интерната, где дружба с одноклассницей Райли приводит ее к первому путешествию во внешний мир. За стенами регламентированного гражданского порядка Элли и Райли сталкиваются с насильственным образом жизни повстанческой группы «Цикад» и с чудовищными жертвами вируса!",Манга,/static/books/covers/lastofus.jpg,9785171192563,ru
Алмазная гора,Вербинина Валерия,Издательство АСТ,2012,352,"- Увлекательный исторический детектив о советской эпохе. - Захватывающий роман с неожиданными сюжетными поворотами, из которого читатель узнает множество интересного о кино довоенных лет. Действие книги происходит в Крыму во время съемок фильма. - Очередной том цикла про сотрудника угрозыска Ивана Опалина, но книгу можно читать и отдельно. - Серия «Мастера сыска. Советское время».",Детектив,/static/books/covers/almaz_gora.jpg,9785171730062,ru
Король в желтом,Чамберс Роберт,Издательство АСТ,2024,320,"— Культовая книга жанра хоррор. — Один из самых ярких образцов «ужаса и сверхъестественного» американской прозы. — Все истории цикла «Король в желтом» под одной обложкой. — Роберт Чамберс оказал огромное влияние на творчество многих авторов XX века, в том числе и Говарда Филлипса Лавкрафта, Нила Германа и Стивена Кинга. — Для всех поклонников телесериала «Настоящий детектив». — Любимая книга — теперь в удобном формате и узнаваемом оформлении серии «Эксклюзивная классика».",Детектив,/static/books/covers/king_in_yellow.jpg,9785171679682,ru
Тонкий расчет,Шелдон Сидни,Издательство АСТ,2005,384,"Мужчина, предавший женщину, рано или поздно горько об этом пожалеет... Мужчина, предавший сильную женщину ради власти, пожалеет об этом трижды! Истина, которую забыл молодой политик, карьеры ради бросивший невесту накануне свадьбы и женившийся на дочери могущественного сенатора. Прошли годы… Все давно забыто? О нет! Преданная им женщина всего лишь ждала удобного часа для мести. И она дождалась...",Детектив,/static/books/covers/tonkiy_raschot.jpg,9785171532611,ru
Прокляты и убиты,Астафьев Виктор Петрович,Издательство АСТ,2017,800,"Над романом‑эпопеей «Прокляты и убиты» Астафьев работал долго — с 1990 по 1994 гг — и так и не написал запланированной последней, третьей книги, однако это не помешало произведению стать одним из самых сильных и пронзительных образцов российской «военной» прозы. Необычно уже само название романа, пришедшее из писаний русских старообрядцев: «Все, кто сеет на земле смуту, войны и братоубийство, будут Богом прокляты и убиты». Столь же необычно в этой эпопее все — идея войны как наказания Божия, посланного народу за ужасы революции и отказ от веры; предельный реализм в описаниях солдатского быта; удивительно искренний и народный патриотизм, сочетающийся со столь же глубинным и народным неприятием «советчины». Ничего подобного в русской «военной» прозе не было ни до, ни после удивительной эпопеи Астафьева.",Романтика,/static/books/covers/proklaty_and_killed.jpg,9785171081171,ru
Автостопом по Галактике. Ресторан "У конца Вселенной";,Адамс Дуглас,Издательство АСТ,2022,352,"«Автостопом по Галактике». КУЛЬТОВЫЙ СЕРИАЛ, равно любимый и критиками, и читателями. Сериал, послуживший основой ВЕЛИКОЛЕПНОГО ФИЛЬМА, сценарий которого в свое время создал САМ Дуглас Адамс. Вы смотрели этот фильм? Вы восхищались его юмором и полетом воображения? Вы еще не читали КНИГУ? Прочтите. Не пожалеете!",Фантастика,/static/books/covers/stoop1.jpg,9785170324583,ru
Сто лет одиночества,Гарсиа Маркес Габриэль,Издательство АСТ,2024,416,"Одна из величайших книг XX века. Классика магического реализма. Странная, увлекательная и причудливая история затерянного в джунглях города Макондо — от его основания до гибели. Перед вами — история рода Буэндиа, семьи, столь необычной, что чудеса в ней стали обыденным и повседневным явлением, не заслуживающим внимания. Семьи, в которой рождаются святые и грешники, авантюристы и революционеры, герои и предатели. Семьи, в которой кипят невероятные страсти и случаются удивительные события. Семьи, в которой как в волшебном зеркале отражается подлинная история Латинской Америки.",Романтика,/static/books/covers/one_hungred_years_alone.jpg,9785171632960,ru
Рубаи,Омар Хайям,Издательство АСТ,2015,224,"Омар Хайям (1048–1131) — великий персидский поэт, философ и учёный, неоспоримый классик мировой лирики. На протяжении всей своей жизни он писал стихотворные афоризмы, рубаи, в которых отражал сокровенные мысли о любви и ненависти, добре и зле, судьбе и роке. Знаменитые рубайат, заставляющие задуматься о жизни и посмеяться над беспомощностью человека в борьбе с самим собой, остаются актуальны по сей день.",Романтика,/static/books/covers/rubai.jpg,9785171596965,ru
Дети Хурина. Нарн и Хин Хурин,Толкин Джон Рональд Руэл,Издательство АСТ,2018,320,"«Примерно за шесть с половиной тысяч лет до Совета Эльронда в Ривенделле родился в Дор-ломине Турин, и „его появление на свет сопровождается мрачными знамениями“»... Фэнтезийный роман «Дети Хурина» культового английского писателя Джона Р. Р. Толкина был опубликован в 2007 году, а начат почти на девяносто лет ранее. Издал легендарное сказание о популярном мире Средиземья сын автора Кристофер. Он переработал огромное количество черновиков отца, к которым тот возвращался на протяжении всей своей жизни... Книга адресована в первую очередь тем любителям культового цикла «Властелин Колец», которые, как говорится в предисловии, «возможно, помнят, что пронзить шкуру Шелоб „не хватило бы сил человеческих, даже если бы сталь выковали эльф или гном, а сжимала клинок рука Берена либо Турина“, или что в Ривенделле Эльронд, обращаясь к Фродо, назвал Турина „одним из могучих друзей эльфов далекого прошлого“; однако ничего больше о Турине не знают»... ...Появившись на свет, брат и сестра Турин и Ниэнор даже не подозревали, насколько тяжелой станет их последующая жизнь. Насколько несправедливым окажется нести бремя проклятия, которое злые силы наложили на их отца-героя, не ставшего выдавать месторасположение тайного города эльфов. Насколько печальный конец может ждать их семью...",Фантастика,/static/books/covers/hurin_kids.jpg,9785170886647,ru
Всадник без головы,Рид Томас Майн,Издательство АСТ,2023,768,"Мистическая и таинственная история о всаднике без головы, то тут, то там появляющемся в техасских прериях, будоражит воображение не одного поколения читателей. Тайная любовь красавицы-аристократки Луизы Пойнтдекстер и небогатого мустангера Мориса Джеральда, исчезновение любимого брата Луизы и внезапное появление загадочного всадника, ревность, вражда и возмездие – все переплетается в замысловатый клубок непростых взаимоотношений героев на фоне бескрайних равнин и жаркого неба Южного Техаса. Томас Майн Рид писал этот роман, вспоминая собственные приключения в Америке, где он прожил десять лет, дружил с Эдгаром Аланом По, работал торговым агентом, актером, учителем и журналистом и даже был ранен в бою. Роман ""Всадник без головы"" принёс автору не только большой гонорар, но и всемирную славу, и до сих пор считается одним из главных образцов приключенческой литературы.",Романтика,/static/books/covers/without_head.jpg,9785171636005,ru
Страх вратаря перед одиннадцатиметровым,Хандке Петер,Издательство АСТ,2017,160,"Бывший вратарь Йозеф Блох, бесцельно слоняясь по Вене, знакомится с кассиршей кинотеатра, остается у нее на ночь, а утром душит ее. После он бежит в маленький городок, где, затаившись, через полицейские сводки в газетах следит за происходящим, понимая, что его преследователи все ближе и ближе... ""Страх вратаря перед одиннадцатиметровым"" (1970) – самая известная повесть Хандке о вратаре, пропустившем гол. Гол, который дал трещину в его жизни.",Романтика,/static/books/covers/scary_football.jpg,9785171209155,ru
О дивный новый мир,Хаксли Олдос,Издательство АСТ,2021,288,"""О дивный новый мир"" — изысканная и остроумная антиутопия о генети-чески программируемом ""обществе потребления"", в котором разворачивается трагическая история Дикаря — ""Гамлета"" этого мира.",Фантастика,/static/books/covers/new_world.jpg,9785170628230,ru
К востоку от Эдема,Стейнбек Джон,Издательство АСТ,2018,768,"Шедевр ""позднего"" Джона Стейнбека. Роман, который вызвал бурю возмущения консервативно настроенных критиков, надолго занял первое место среди национальных бестселлеров и лег в основу классического фильма с Джеймсом Дином в главной роли. Семейная сага… История страстной любви и страстной ненависти, доверия и предательства, преступлений и проступков… Но прежде всего – история двух сыновей калифорнийца Адама Траска, своеобразных ""Каина и Авеля"". Оба они ищут свое место в мире, но как же разнятся их поиски… ""Ты можешь"" – слова из библейского апокрифа, которые становятся своеобразным символом романа. Можешь. Можешь творить зло – или добро, можешь стать жертвой – или хищником. Но за каждый выбор придется платить дорогой ценой…",Романтика,/static/books/covers/edem.jpg,9785170818556,ru
